Галопом по Европам;Что стоит на руке у туриста на фотографиях из Парижа?;53;Эйфелева Башня, Пизанская Башня, Пирамиды Гизы, Статуя Свободы;62;Франция;attraction
Галопом по Европам;Необычный деликатес, который пробует каждый турист, посетивший Францию;70;Лягушки, Жуки, Тараканы, Утка;29;Франция;kitchen
Галопом по Европам;Во Франции береговая линия не обозначалась огнями вплоть до XVII века, почему?;78;Нападения пиратов,Не было возможности,Слишком длинная,Не распугивать рыбу;73;Франция;history
Галопом по Европам;Известный фестиваль в Германии, во время которого немцы переодеваются в национальную одежду и пьют пиво;103;Октоберфест, Розенмонтаг, Николаустаг, Йоль;43;Германия;attraction
Галопом по Европам;Это блюдо считается визитной карточкой Баварии;46;Свиная колбаска, Морковный салат, Манная каша, Пицца;52;Германия;kitchen
Галопом по Европам;В этих горах Баварии находятся два средневековых королевских замка;66;Альпы, Пиринеи, Гималаи, Кордельеры;35;Германия;geo
Галопом по Европам;Национальная кухня Италии славится на весь мир этим блюдом;58;Пицца, Суши, Сыр, Колбаски;26;Италия;kitchen
Галопом по Европам;В каком городе находится Колизей (амфитеатр Флавиев)?;53;Рим, Пиза, Сиена, Милан;23;Италия;attraction
Галопом по Европам;"Одним из деликатесов в Великобритании является ""Черный пуддинг"". За счет чего он получил свое название?";103;Свинная кровь, Черный рис, Черные бобы, Чечевица;48;Англия;kitchen
Галопом по Европам;Англичане - любители выпить. Любимый напиток, измеряющийся пинтами, эль. Сколько миллилитров вмещается в английской пинте?;122;568, 480, 530, 589;18;Англия;kitchen
Североамериканское турне;Что стоит на руке у туриста на фотографиях из Парижа?;53;Эйфелева Башня, Пизанская Башня, Пирамиды Гизы, Статуя Свободы;62;Франция;attraction
Североамериканское турне;Необычный деликатес, который пробует каждый турист, посетивший Францию;70;Лягушки, Жуки, Тараканы, Утка;29;Франция;kitchen
Североамериканское турне;Во Франции береговая линия не обозначалась огнями вплоть до XVII века, почему?;78;Нападения пиратов,Не было возможности,Слишком длинная,Не распугивать рыбу;73;Франция;history
Североамериканское турне;Известный фестиваль в Германии, во время которого немцы переодеваются в национальную одежду и пьют пиво;103;Октоберфест, Розенмонтаг, Николаустаг, Йоль;43;Германия;attraction
Североамериканское турне;Это блюдо считается визитной карточкой Баварии;46;Свиная колбаска, Морковный салат, Манная каша, Пицца;52;Германия;kitchen
Североамериканское турне;В этих горах Баварии находятся два средневековых королевских замка;66;Альпы, Пиринеи, Гималаи, Кордельеры;35;Германия;geo
Североамериканское турне;Национальная кухня Италии славится на весь мир этим блюдом;58;Пицца, Суши, Сыр, Колбаски;26;Италия;kitchen
Североамериканское турне;В каком городе находится Колизей (амфитеатр Флавиев)?;53;Рим, Пиза, Сиена, Милан;23;Италия;attraction
Североамериканское турне;"Одним из деликатесов в Великобритании является ""Черный пуддинг"". За счет чего он получил свое название?";103;Свинная кровь, Черный рис, Черные бобы, Чечевица;48;Англия;kitchen
Североамериканское турне;Англичане - любители выпить. Любимый напиток, измеряющийся пинтами, эль. Сколько миллилитров вмещается в английской пинте?;122;568, 480, 530, 589;18;Англия;kitchen
Далекая Африка;Что стоит на руке у туриста на фотографиях из Парижа?;53;Эйфелева Башня, Пизанская Башня, Пирамиды Гизы, Статуя Свободы;62;Франция;attraction
Далекая Африка;Необычный деликатес, который пробует каждый турист, посетивший Францию;70;Лягушки, Жуки, Тараканы, Утка;29;Франция;kitchen
Далекая Африка;Во Франции береговая линия не обозначалась огнями вплоть до XVII века, почему?;78;Нападения пиратов,Не было возможности,Слишком длинная,Не распугивать рыбу;73;Франция;history
Далекая Африка;Известный фестиваль в Германии, во время которого немцы переодеваются в национальную одежду и пьют пиво;103;Октоберфест, Розенмонтаг, Николаустаг, Йоль;43;Германия;attraction
Далекая Африка;Это блюдо считается визитной карточкой Баварии;46;Свиная колбаска, Морковный салат, Манная каша, Пицца;52;Германия;kitchen
Далекая Африка;В этих горах Баварии находятся два средневековых королевских замка;66;Альпы, Пиринеи, Гималаи, Кордельеры;35;Германия;geo
Далекая Африка;Национальная кухня Италии славится на весь мир этим блюдом;58;Пицца, Суши, Сыр, Колбаски;26;Италия;kitchen
Далекая Африка;В каком городе находится Колизей (амфитеатр Флавиев)?;53;Рим, Пиза, Сиена, Милан;23;Италия;attraction
Далекая Африка;"Одним из деликатесов в Великобритании является ""Черный пуддинг"". За счет чего он получил свое название?";103;Свинная кровь, Черный рис, Черные бобы, Чечевица;48;Англия;kitchen
Далекая Африка;Англичане - любители выпить. Любимый напиток, измеряющийся пинтами, эль. Сколько миллилитров вмещается в английской пинте?;122;568, 480, 530, 589;18;Англия;kitchen
